Code,Description,CO2
258,Lockheed L-1649A,50
550,Lockheed L-188A/C Electra,50
552,Lockheed L-382B,50
242,Lockheed L-649,50
244,Lockheed L-749/749A,50
553,Lockheed L100-10 Hercules,50
555,Lockheed L100-20 Hercules,50
556,Lockheed L100-30/L-382E,50
180,Martin 202/202A,50
185,Martin 404,50
730,McDonnell Douglas DC-10-10,50
731,McDonnell Douglas DC-10-20,50
732,McDonnell Douglas DC-10-30,50
735,McDonnell Douglas DC-10-30CF,50
733,McDonnell Douglas DC-10-40,50
158,McDonnell Douglas DC-2,50
160,"McDonnell Douglas DC-3/A/C,C-47/B",50
210,McDonnell Douglas DC-4(C54/C54A/C54B/C54E),50
216,McDonnell Douglas DC-6,50
218,McDonnell Douglas DC-6A,50
220,McDonnell Douglas DC-6B,50
225,McDonnell Douglas DC-7A/B,50
228,McDonnell Douglas DC-7C,50
840,McDonnell Douglas DC-8-10,50
842,McDonnell Douglas DC-8-20,50
844,McDonnell Douglas DC-8-30,50
846,McDonnell Douglas DC-8-40,50
848,McDonnell Douglas DC-8-50,50
850,McDonnell Douglas DC-8-50F,50
851,McDonnell Douglas DC-8-61,50
854,McDonnell Douglas DC-8-62,50
856,McDonnell Douglas DC-8-63,50
852,McDonnell Douglas DC-8-63F,50
860,McDonnell Douglas DC-8-71,50
862,McDonnell Douglas DC-8-72,50
864,McDonnell Douglas DC-8-73,50
865,McDonnell Douglas DC-8-73F,50
630,McDonnell Douglas DC-9-10,50
635,McDonnell Douglas DC-9-15F,50
640,McDonnell Douglas DC-9-30,50
645,McDonnell Douglas DC-9-40,50
650,McDonnell Douglas DC-9-50,50
655,McDonnell Douglas DC9 Super 80/MD81/82/83/88,50
654,McDonnell Douglas DC9 Super 87,50
740,McDonnell Douglas MD-11,50
656,McDonnell Douglas MD-90,50
463,Mitsubishi MU-2/B,50
477,Mohawk 298,50
52,Mooney M-20C/E/G,50
51,Mooney M-21,50
717,Mrj-70/Std/ER/Lr,50
718,Mrj-90/Std/Sr/Lr,50
465,Nihon YS-11,50
65,Noorduyn UC-64AS,50
475,Nord 262,50
102,P2012 Traveler,50
425,Piaggio P180 Avanti,50
131,Pilatus Britten-Norman BN2/A Islander,50
201,Pilatus Britten-Norman BN2A Trislander,50
479,Pilatus PC-12,50
70,Pilatus Porter PC6,50
71,Pilatus Porter PC6/350,50
480,Pilatus Turbo Porter PC-6A,50
